"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8140","Access to an Artist via the Search Best Result","e2e","2026-08-02","passed","2026-08-02","","tests/e2e/search-artist.spec.ts","",""
"","34152","authenticate","setup","2026-08-02","passed","2026-08-02","","tests/e2e/auth.setup.ts","",""
"","8564","Play Flow from home page","e2e","2026-08-02","passed","2026-08-02","","tests/e2e/flow.spec.ts","",""
"","16903","Create a playlist and add a track","e2e","2026-08-02","passed","2026-08-02","","tests/e2e/create-playlist-add-track.spec.ts","",""
